BEP,Brookfield Renewable Partners L,
01/04/2006,5.247265815734863,0.0
01/04/2006,5.247265815734863,0.0
01/05/2006,5.2372517585754395,0.0
01/05/2006,5.2372517585754395,0.0
01/06/2006,5.243927001953125,0.0
01/06/2006,5.243927001953125,0.0
01/09/2006,5.283981800079346,0.0
01/09/2006,5.283981800079346,0.0
01/10/2006,5.283981800079346,0.0
01/10/2006,5.283981800079346,0.0
01/11/2006,5.277306079864502,0.0
01/11/2006,5.277306079864502,0.0
01/12/2006,5.277306079864502,0.0
01/12/2006,5.277306079864502,0.0
01/13/2006,5.320700168609619,0.0
01/13/2006,5.320700168609619,0.0
01/17/2006,5.367432117462158,0.0
01/17/2006,5.367432117462158,0.0
01/18/2006,5.367432117462158,0.0
01/18/2006,5.367432117462158,0.0
01/19/2006,5.480921745300293,0.0
01/19/2006,5.480921745300293,0.0
01/20/2006,5.490936756134033,0.0
01/20/2006,5.490936756134033,0.0
01/23/2006,5.490936756134033,0.0
01/23/2006,5.490936756134033,0.0
01/24/2006,5.524315357208252,0.0
01/24/2006,5.524315357208252,0.0
01/25/2006,5.551019668579102,0.0
01/25/2006,5.551019668579102,0.0
01/26/2006,5.554357051849365,0.0
01/26/2006,5.554357051849365,0.0
01/27/2006,5.587735652923584,0.0
01/27/2006,5.587735652923584,0.0
01/30/2006,5.621117115020752,0.0
01/30/2006,5.621117115020752,0.0
01/31/2006,5.627790927886963,0.0
01/31/2006,5.627790927886963,0.0
02/01/2006,5.611102104187012,0.0
02/01/2006,5.611102104187012,0.0
02/02/2006,5.534328460693359,0.0
02/02/2006,5.534328460693359,0.0
02/03/2006,5.5042877197265625,0.0
02/03/2006,5.5042877197265625,0.0
02/06/2006,5.470907688140869,0.0
02/06/2006,5.470907688140869,0.0
02/07/2006,5.454217433929443,0.0
02/07/2006,5.454217433929443,0.0
02/08/2006,5.5042877197265625,0.0
02/08/2006,5.5042877197265625,0.0
02/09/2006,5.554357051849365,0.0
02/09/2006,5.554357051849365,0.0
02/10/2006,5.487598419189453,0.0
02/10/2006,5.487598419189453,0.0
02/13/2006,5.3974738121032715,0.0
02/13/2006,5.3974738121032715,0.0
02/14/2006,5.243927001953125,0.0
02/14/2006,5.243927001953125,0.0
02/15/2006,5.347403049468994,0.0
02/15/2006,5.347403049468994,0.0
02/16/2006,5.394134521484375,0.0
02/16/2006,5.394134521484375,0.0
02/17/2006,5.3974738121032715,0.0
02/17/2006,5.3974738121032715,0.0
02/21/2006,5.424176216125488,0.0
02/21/2006,5.424176216125488,0.0
02/22/2006,5.440866947174072,0.0
02/22/2006,5.440866947174072,0.0
02/23/2006,5.280642986297607,0.0
02/23/2006,5.280642986297607,0.0
02/24/2006,5.414163589477539,0.0
02/24/2006,5.414163589477539,0.0
02/27/2006,5.437527656555176,0.0
02/27/2006,5.437527656555176,0.0
02/28/2006,5.494272708892822,0.0
02/28/2006,5.494272708892822,0.0
03/01/2006,5.490936756134033,0.0
03/01/2006,5.490936756134033,0.0
03/02/2006,5.4976115226745605,0.0
03/02/2006,5.4976115226745605,0.0
03/03/2006,5.5643696784973145,0.0
03/03/2006,5.5643696784973145,0.0
03/06/2006,5.43419075012207,0.0
03/06/2006,5.43419075012207,0.0
03/07/2006,5.340726375579834,0.0
03/07/2006,5.340726375579834,0.0
03/08/2006,5.330713748931885,0.0
03/08/2006,5.330713748931885,0.0
03/09/2006,5.354079246520996,0.0
03/09/2006,5.354079246520996,0.0
03/10/2006,5.260616779327393,0.0
03/10/2006,5.260616779327393,0.0
03/13/2006,5.210547924041748,0.0
03/13/2006,5.210547924041748,0.0
03/14/2006,5.217223644256592,0.0
03/14/2006,5.217223644256592,0.0
03/15/2006,5.220561504364014,0.0
03/15/2006,5.220561504364014,0.0
03/16/2006,5.240588188171387,0.0
03/16/2006,5.240588188171387,0.0
03/17/2006,5.324037551879883,0.0
03/17/2006,5.324037551879883,0.0
03/20/2006,5.320700168609619,0.0
03/20/2006,5.320700168609619,0.0
03/21/2006,5.327375411987305,0.0
03/21/2006,5.327375411987305,0.0
03/22/2006,5.207208156585693,0.0
03/22/2006,5.207208156585693,0.0
03/23/2006,5.223899841308594,0.0
03/23/2006,5.223899841308594,0.0
03/24/2006,5.277306079864502,0.0
03/24/2006,5.277306079864502,0.0
03/27/2006,5.267292499542236,0.0
03/27/2006,5.267292499542236,0.0
03/28/2006,5.267292499542236,0.0
03/28/2006,5.267292499542236,0.0
03/29/2006,5.290659427642822,0.0
03/29/2006,5.290659427642822,0.0
03/30/2006,5.380782127380371,0.0
03/30/2006,5.380782127380371,0.0
03/31/2006,5.370769500732422,0.0
03/31/2006,5.370769500732422,0.0
04/03/2006,5.307348251342773,0.0
04/03/2006,5.307348251342773,0.0
04/04/2006,5.320700168609619,0.0
04/04/2006,5.320700168609619,0.0
04/05/2006,5.320700168609619,0.0
04/05/2006,5.320700168609619,0.0
04/06/2006,5.404147148132324,0.0
04/06/2006,5.404147148132324,0.0
04/07/2006,5.420838832855225,0.0
04/07/2006,5.420838832855225,0.0
04/10/2006,5.310686111450195,0.0
04/10/2006,5.310686111450195,0.0
04/11/2006,5.347403049468994,0.0
04/11/2006,5.347403049468994,0.0
04/12/2006,5.3373894691467285,0.0
04/12/2006,5.3373894691467285,0.0
04/13/2006,5.297333240509033,0.0
04/13/2006,5.297333240509033,0.0
04/17/2006,5.250602722167969,0.0
04/17/2006,5.250602722167969,0.0
04/18/2006,5.297333240509033,0.0
04/18/2006,5.297333240509033,0.0
04/19/2006,5.293996334075928,0.0
04/19/2006,5.293996334075928,0.0
04/20/2006,5.330713748931885,0.0
04/20/2006,5.330713748931885,0.0
04/21/2006,5.267292499542236,0.0
04/21/2006,5.267292499542236,0.0
04/24/2006,5.293996334075928,0.0
04/24/2006,5.293996334075928,0.0
04/25/2006,5.374106407165527,0.0
04/25/2006,5.374106407165527,0.0
04/26/2006,5.374106407165527,0.0
04/26/2006,5.374106407165527,0.0
04/27/2006,5.314024448394775,0.0
04/27/2006,5.314024448394775,0.0
04/28/2006,5.314024448394775,0.0
04/28/2006,5.314024448394775,0.0
05/01/2006,5.314024448394775,0.0
05/01/2006,5.314024448394775,0.0
05/02/2006,5.263955116271973,0.0
05/02/2006,5.263955116271973,0.0
05/03/2006,5.263955116271973,0.0
05/03/2006,5.263955116271973,0.0
05/04/2006,5.33405065536499,0.0
05/04/2006,5.33405065536499,0.0
05/05/2006,5.267292499542236,0.0
05/05/2006,5.267292499542236,0.0
05/08/2006,5.280642986297607,0.0
05/08/2006,5.280642986297607,0.0
05/09/2006,5.280642986297607,0.0
05/09/2006,5.280642986297607,0.0
05/10/2006,5.287320613861084,0.0
05/10/2006,5.287320613861084,0.0
05/11/2006,5.267292499542236,0.0
05/11/2006,5.267292499542236,0.0
05/12/2006,5.220561504364014,0.0
05/12/2006,5.220561504364014,0.0
05/15/2006,5.243927001953125,0.0
05/15/2006,5.243927001953125,0.0
05/16/2006,5.243927001953125,0.0
05/16/2006,5.243927001953125,0.0
05/17/2006,5.220561504364014,0.0
05/17/2006,5.220561504364014,0.0
05/18/2006,5.217223644256592,0.0
05/18/2006,5.217223644256592,0.0
05/19/2006,5.250602722167969,0.0
05/19/2006,5.250602722167969,0.0
05/22/2006,5.250602722167969,0.0
05/22/2006,5.250602722167969,0.0
05/23/2006,5.367432117462158,0.0
05/23/2006,5.367432117462158,0.0
05/24/2006,5.280642986297607,0.0
05/24/2006,5.280642986297607,0.0
05/25/2006,5.414163589477539,0.0
05/25/2006,5.414163589477539,0.0
05/26/2006,5.414163589477539,0.0
05/26/2006,5.414163589477539,0.0
05/30/2006,5.440866947174072,0.0
05/30/2006,5.440866947174072,0.0
05/31/2006,5.524315357208252,0.0
05/31/2006,5.524315357208252,0.0
06/01/2006,5.517638206481934,0.0
06/01/2006,5.517638206481934,0.0
06/02/2006,5.567708969116211,0.0
06/02/2006,5.567708969116211,0.0
06/05/2006,5.4675703048706055,0.0
06/05/2006,5.4675703048706055,0.0
06/06/2006,5.424176216125488,0.0
06/06/2006,5.424176216125488,0.0
06/07/2006,5.3974738121032715,0.0
06/07/2006,5.3974738121032715,0.0
06/08/2006,5.364094257354736,0.0
06/08/2006,5.364094257354736,0.0
06/09/2006,5.364094257354736,0.0
06/09/2006,5.364094257354736,0.0
06/12/2006,5.454217433929443,0.0
06/12/2006,5.454217433929443,0.0
06/13/2006,5.400810241699219,0.0
06/13/2006,5.400810241699219,0.0
06/14/2006,5.3907976150512695,0.0
06/14/2006,5.3907976150512695,0.0
06/15/2006,5.380782127380371,0.0
06/15/2006,5.380782127380371,0.0
06/16/2006,5.344066619873047,0.0
06/16/2006,5.344066619873047,0.0
06/19/2006,5.27396821975708,0.0
06/19/2006,5.27396821975708,0.0
06/20/2006,5.223899841308594,0.0
06/20/2006,5.223899841308594,0.0
06/21/2006,5.240588188171387,0.0
06/21/2006,5.240588188171387,0.0
06/22/2006,5.200533390045166,0.0
06/22/2006,5.200533390045166,0.0
06/23/2006,5.2372517585754395,0.0
06/23/2006,5.2372517585754395,0.0
06/26/2006,5.230574607849121,0.0
06/26/2006,5.230574607849121,0.0
06/27/2006,5.290659427642822,0.0
06/27/2006,5.290659427642822,0.0
06/28/2006,5.344066619873047,0.0
06/28/2006,5.344066619873047,0.0
06/29/2006,5.347403049468994,0.0
06/29/2006,5.347403049468994,0.0
06/30/2006,5.347403049468994,0.0
06/30/2006,5.347403049468994,0.0
07/03/2006,5.347403049468994,0.0
07/03/2006,5.347403049468994,0.0
07/05/2006,5.470907688140869,0.0
07/05/2006,5.470907688140869,0.0
07/06/2006,5.537666320800781,0.0
07/06/2006,5.537666320800781,0.0
07/07/2006,5.530991554260254,0.0
07/07/2006,5.530991554260254,0.0
07/10/2006,5.547680377960205,0.0
07/10/2006,5.547680377960205,0.0
07/11/2006,5.420838832855225,0.0
07/11/2006,5.420838832855225,0.0
07/12/2006,5.347403049468994,0.0
07/12/2006,5.347403049468994,0.0
07/13/2006,5.3907976150512695,0.0
07/13/2006,5.3907976150512695,0.0
07/14/2006,5.3874592781066895,0.0
07/14/2006,5.3874592781066895,0.0
07/17/2006,5.384120464324951,0.0
07/17/2006,5.384120464324951,0.0
07/18/2006,5.340726375579834,0.0
07/18/2006,5.340726375579834,0.0
07/19/2006,5.307348251342773,0.0
07/19/2006,5.307348251342773,0.0
07/20/2006,5.340726375579834,0.0
07/20/2006,5.340726375579834,0.0
07/21/2006,5.277306079864502,0.0
07/21/2006,5.277306079864502,0.0
07/24/2006,5.277306079864502,0.0
07/24/2006,5.277306079864502,0.0
07/25/2006,5.3006720542907715,0.0
07/25/2006,5.3006720542907715,0.0
07/26/2006,5.330713748931885,0.0
07/26/2006,5.330713748931885,0.0
07/27/2006,5.260616779327393,0.0
07/27/2006,5.260616779327393,0.0
07/28/2006,5.283981800079346,0.0
07/28/2006,5.283981800079346,0.0
07/31/2006,5.293996334075928,0.0
07/31/2006,5.293996334075928,0.0
08/01/2006,5.304008960723877,0.0
08/01/2006,5.304008960723877,0.0
08/02/2006,5.3974738121032715,0.0
08/02/2006,5.3974738121032715,0.0
08/03/2006,5.4475417137146,0.0
08/03/2006,5.4475417137146,0.0
08/04/2006,5.4475417137146,0.0
08/04/2006,5.4475417137146,0.0
08/07/2006,5.4475417137146,0.0
08/07/2006,5.4475417137146,0.0
08/08/2006,5.474245548248291,0.0
08/08/2006,5.474245548248291,0.0
08/09/2006,5.490936756134033,0.0
08/09/2006,5.490936756134033,0.0
08/10/2006,5.490936756134033,0.0
08/10/2006,5.490936756134033,0.0
08/11/2006,5.457555770874023,0.0
08/11/2006,5.457555770874023,0.0
08/14/2006,5.344066619873047,0.0
08/14/2006,5.344066619873047,0.0
08/15/2006,5.384120464324951,0.0
08/15/2006,5.384120464324951,0.0
08/16/2006,5.384120464324951,0.0
08/16/2006,5.384120464324951,0.0
08/17/2006,5.43419075012207,0.0
08/17/2006,5.43419075012207,0.0
08/18/2006,5.43419075012207,0.0
08/18/2006,5.43419075012207,0.0
08/21/2006,5.4976115226745605,0.0
08/21/2006,5.4976115226745605,0.0
08/22/2006,5.520977973937988,0.0
08/22/2006,5.520977973937988,0.0
08/23/2006,5.520977973937988,0.0
08/23/2006,5.520977973937988,0.0
08/24/2006,5.551019668579102,0.0
08/24/2006,5.551019668579102,0.0
08/25/2006,5.574384689331055,0.0
08/25/2006,5.574384689331055,0.0
08/28/2006,5.547680377960205,0.0
08/28/2006,5.547680377960205,0.0
08/29/2006,5.530991554260254,0.0
08/29/2006,5.530991554260254,0.0
08/30/2006,5.5410051345825195,0.0
08/30/2006,5.5410051345825195,0.0
08/31/2006,5.5410051345825195,0.0
08/31/2006,5.5410051345825195,0.0
09/01/2006,5.647819995880127,0.0
09/01/2006,5.647819995880127,0.0
09/05/2006,5.621117115020752,0.0
09/05/2006,5.621117115020752,0.0
09/06/2006,5.641144275665283,0.0
09/06/2006,5.641144275665283,0.0
09/07/2006,5.597751140594482,0.0
09/07/2006,5.597751140594482,0.0
09/08/2006,5.607763767242432,0.0
09/08/2006,5.607763767242432,0.0
09/11/2006,5.694551467895508,0.0
09/11/2006,5.694551467895508,0.0
09/12/2006,5.75797176361084,0.0
09/12/2006,5.75797176361084,0.0
09/13/2006,5.774660110473633,0.0
09/13/2006,5.774660110473633,0.0
09/14/2006,5.808039665222168,0.0
09/14/2006,5.808039665222168,0.0
09/15/2006,5.831407070159912,0.0
09/15/2006,5.831407070159912,0.0
09/18/2006,5.92153263092041,0.0
09/18/2006,5.92153263092041,0.0
09/19/2006,5.828067779541016,0.0
09/19/2006,5.828067779541016,0.0
09/20/2006,5.808039665222168,0.0
09/20/2006,5.808039665222168,0.0
09/21/2006,5.891489505767822,0.0
09/21/2006,5.891489505767822,0.0
09/22/2006,5.771322727203369,0.0
09/22/2006,5.771322727203369,0.0
09/25/2006,5.721252918243408,0.0
09/25/2006,5.721252918243408,0.0
09/26/2006,5.637806415557861,0.0
09/26/2006,5.637806415557861,0.0
09/27/2006,5.681198596954346,0.0
09/27/2006,5.681198596954346,0.0
09/28/2006,5.664509296417236,0.0
09/28/2006,5.664509296417236,0.0
09/29/2006,5.701226711273193,0.0
09/29/2006,5.701226711273193,0.0
10/02/2006,5.694551467895508,0.0
10/02/2006,5.694551467895508,0.0
10/03/2006,5.627790927886963,0.0
10/03/2006,5.627790927886963,0.0
10/04/2006,5.594411373138428,0.0
10/04/2006,5.594411373138428,0.0
10/05/2006,5.651157855987549,0.0
10/05/2006,5.651157855987549,0.0
10/06/2006,5.694551467895508,0.0
10/06/2006,5.694551467895508,0.0
10/09/2006,5.694551467895508,0.0
10/09/2006,5.694551467895508,0.0
10/10/2006,5.694551467895508,0.0
10/10/2006,5.694551467895508,0.0
10/11/2006,5.614440441131592,0.0
10/11/2006,5.614440441131592,0.0
10/12/2006,5.554357051849365,0.0
10/12/2006,5.554357051849365,0.0
10/13/2006,5.581059455871582,0.0
10/13/2006,5.581059455871582,0.0
10/16/2006,5.58439826965332,0.0
10/16/2006,5.58439826965332,0.0
10/17/2006,5.537666320800781,0.0
10/17/2006,5.537666320800781,0.0
10/18/2006,5.5643696784973145,0.0
10/18/2006,5.5643696784973145,0.0
10/19/2006,5.611102104187012,0.0
10/19/2006,5.611102104187012,0.0
10/20/2006,5.631129264831543,0.0
10/20/2006,5.631129264831543,0.0
10/23/2006,5.631129264831543,0.0
10/23/2006,5.631129264831543,0.0
10/24/2006,5.624453067779541,0.0
10/24/2006,5.624453067779541,0.0
10/25/2006,5.671182632446289,0.0
10/25/2006,5.671182632446289,0.0
10/26/2006,5.711240291595459,0.0
10/26/2006,5.711240291595459,0.0
10/27/2006,5.711240291595459,0.0
10/27/2006,5.711240291595459,0.0
10/30/2006,5.654496192932129,0.0
10/30/2006,5.654496192932129,0.0
10/31/2006,5.7613115310668945,0.0
10/31/2006,5.7613115310668945,0.0
11/01/2006,4.993581295013428,0.0
11/01/2006,4.993581295013428,0.0
11/02/2006,4.91013240814209,0.0
11/02/2006,4.91013240814209,0.0
11/03/2006,5.167153358459473,0.0
11/03/2006,5.167153358459473,0.0
11/06/2006,5.567708969116211,0.0
11/06/2006,5.567708969116211,0.0
11/07/2006,5.4775824546813965,0.0
11/07/2006,5.4775824546813965,0.0
11/08/2006,5.374106407165527,0.0
11/08/2006,5.374106407165527,0.0
11/09/2006,5.197194576263428,0.0
11/09/2006,5.197194576263428,0.0
11/10/2006,5.163816452026367,0.0
11/10/2006,5.163816452026367,0.0
11/13/2006,5.140450477600098,0.0
11/13/2006,5.140450477600098,0.0
11/14/2006,5.140450477600098,0.0
11/14/2006,5.140450477600098,0.0
11/15/2006,5.283981800079346,0.0
11/15/2006,5.283981800079346,0.0
11/16/2006,5.344066619873047,0.0
11/16/2006,5.344066619873047,0.0
11/17/2006,5.327375411987305,0.0
11/17/2006,5.327375411987305,0.0
11/20/2006,5.384120464324951,0.0
11/20/2006,5.384120464324951,0.0
11/21/2006,5.280642986297607,0.0
11/21/2006,5.280642986297607,0.0
11/22/2006,5.347403049468994,0.0
11/22/2006,5.347403049468994,0.0
11/24/2006,5.347403049468994,0.0
11/24/2006,5.347403049468994,0.0
11/27/2006,5.457555770874023,0.0
11/27/2006,5.457555770874023,0.0
11/28/2006,5.3373894691467285,0.0
11/28/2006,5.3373894691467285,0.0
11/29/2006,5.340726375579834,0.0
11/29/2006,5.340726375579834,0.0
11/30/2006,5.347403049468994,0.0
11/30/2006,5.347403049468994,0.0
12/01/2006,5.290659427642822,0.0
12/01/2006,5.290659427642822,0.0
12/04/2006,5.480921745300293,0.0
12/04/2006,5.480921745300293,0.0
12/05/2006,5.4976115226745605,0.0
12/05/2006,5.4976115226745605,0.0
12/06/2006,5.450879096984863,0.0
12/06/2006,5.450879096984863,0.0
12/07/2006,5.507626056671143,0.0
12/07/2006,5.507626056671143,0.0
12/08/2006,5.407486915588379,0.0
12/08/2006,5.407486915588379,0.0
12/11/2006,5.507626056671143,0.0
12/11/2006,5.507626056671143,0.0
12/12/2006,5.487598419189453,0.0
12/12/2006,5.487598419189453,0.0
12/13/2006,5.4675703048706055,0.0
12/13/2006,5.4675703048706055,0.0
12/14/2006,5.4675703048706055,0.0
12/14/2006,5.4675703048706055,0.0
12/15/2006,5.500948429107666,0.0
12/15/2006,5.500948429107666,0.0
12/18/2006,5.537666320800781,0.0
12/18/2006,5.537666320800781,0.0
12/19/2006,5.611102104187012,0.0
12/19/2006,5.611102104187012,0.0
12/20/2006,5.587735652923584,0.0
12/20/2006,5.587735652923584,0.0
12/21/2006,5.534328460693359,0.0
12/21/2006,5.534328460693359,0.0
12/22/2006,5.534328460693359,0.0
12/22/2006,5.534328460693359,0.0
12/26/2006,5.534328460693359,0.0
12/26/2006,5.534328460693359,0.0
12/27/2006,5.5042877197265625,0.0
12/27/2006,5.5042877197265625,0.0
12/28/2006,5.5410051345825195,0.0
12/28/2006,5.5410051345825195,0.0
12/29/2006,5.5042877197265625,0.0
12/29/2006,5.5042877197265625,0.0
01/03/2007,5.440866947174072,0.0
01/03/2007,5.440866947174072,0.0
01/04/2007,5.414163589477539,0.0
01/04/2007,5.414163589477539,0.0
01/05/2007,5.414163589477539,0.0
01/05/2007,5.414163589477539,0.0
01/08/2007,5.33405065536499,0.0
01/08/2007,5.33405065536499,0.0
01/09/2007,5.357417583465576,0.0
01/09/2007,5.357417583465576,0.0
01/10/2007,5.357417583465576,0.0
01/10/2007,5.357417583465576,0.0
01/11/2007,5.410824298858643,0.0
01/11/2007,5.410824298858643,0.0
01/12/2007,5.410824298858643,0.0
01/12/2007,5.410824298858643,0.0
01/16/2007,5.404147148132324,0.0
01/16/2007,5.404147148132324,0.0
01/17/2007,5.354079246520996,0.0
01/17/2007,5.354079246520996,0.0
01/18/2007,5.357417583465576,0.0
01/18/2007,5.357417583465576,0.0
01/19/2007,5.344066619873047,0.0
01/19/2007,5.344066619873047,0.0
01/22/2007,5.357417583465576,0.0
01/22/2007,5.357417583465576,0.0
01/23/2007,5.370769500732422,0.0
01/23/2007,5.370769500732422,0.0
01/24/2007,5.370769500732422,0.0
01/24/2007,5.370769500732422,0.0
01/25/2007,5.370769500732422,0.0
01/25/2007,5.370769500732422,0.0
01/26/2007,5.51096248626709,0.0
01/26/2007,5.51096248626709,0.0
01/29/2007,5.557693958282471,0.0
01/29/2007,5.557693958282471,0.0
01/30/2007,5.641144275665283,0.0
01/30/2007,5.641144275665283,0.0
01/31/2007,5.484259605407715,0.0
01/31/2007,5.484259605407715,0.0
02/01/2007,5.440866947174072,0.0
02/01/2007,5.440866947174072,0.0
02/02/2007,5.370769500732422,0.0
02/02/2007,5.370769500732422,0.0
02/05/2007,5.370769500732422,0.0
02/05/2007,5.370769500732422,0.0
02/06/2007,5.414163589477539,0.0
02/06/2007,5.414163589477539,0.0
02/07/2007,5.330713748931885,0.0
02/07/2007,5.330713748931885,0.0
02/08/2007,5.3006720542907715,0.0
02/08/2007,5.3006720542907715,0.0
02/09/2007,5.364094257354736,0.0
02/09/2007,5.364094257354736,0.0
02/12/2007,5.417499542236328,0.0
02/12/2007,5.417499542236328,0.0
02/13/2007,5.394134521484375,0.0
02/13/2007,5.394134521484375,0.0
02/14/2007,5.460893630981445,0.0
02/14/2007,5.460893630981445,0.0
02/15/2007,5.460893630981445,0.0
02/15/2007,5.460893630981445,0.0
02/16/2007,5.627790927886963,0.0
02/16/2007,5.627790927886963,0.0
02/20/2007,5.624453067779541,0.0
02/20/2007,5.624453067779541,0.0
02/21/2007,5.611102104187012,0.0
02/21/2007,5.611102104187012,0.0
02/22/2007,5.631129264831543,0.0
02/22/2007,5.631129264831543,0.0
02/23/2007,5.707901954650879,0.0
02/23/2007,5.707901954650879,0.0
02/26/2007,5.614440441131592,0.0
02/26/2007,5.614440441131592,0.0
02/27/2007,5.614440441131592,0.0
02/27/2007,5.614440441131592,0.0
02/28/2007,5.597751140594482,0.0
02/28/2007,5.597751140594482,0.0
03/01/2007,5.554357051849365,0.0
03/01/2007,5.554357051849365,0.0
03/02/2007,5.507626056671143,0.0
03/02/2007,5.507626056671143,0.0
03/05/2007,5.507626056671143,0.0
03/05/2007,5.507626056671143,0.0
03/06/2007,5.43419075012207,0.0
03/06/2007,5.43419075012207,0.0
03/07/2007,5.427514553070068,0.0
03/07/2007,5.427514553070068,0.0
03/08/2007,5.427514553070068,0.0
03/08/2007,5.427514553070068,0.0
03/09/2007,5.5042877197265625,0.0
03/09/2007,5.5042877197265625,0.0
03/12/2007,5.534328460693359,0.0
03/12/2007,5.534328460693359,0.0
03/13/2007,5.557693958282471,0.0
03/13/2007,5.557693958282471,0.0
03/14/2007,5.4976115226745605,0.0
03/14/2007,5.4976115226745605,0.0
03/15/2007,5.514301776885986,0.0
03/15/2007,5.514301776885986,0.0
03/16/2007,5.554357051849365,0.0
03/16/2007,5.554357051849365,0.0
03/19/2007,5.607763767242432,0.0
03/19/2007,5.607763767242432,0.0
03/20/2007,5.607763767242432,0.0
03/20/2007,5.607763767242432,0.0
03/21/2007,5.657833099365234,0.0
03/21/2007,5.657833099365234,0.0
03/22/2007,5.671182632446289,0.0
03/22/2007,5.671182632446289,0.0
03/23/2007,5.671185565774988,0.0
03/23/2007,5.654496192932129,0.0
03/26/2007,5.681198596954346,0.0
03/26/2007,5.681198596954346,0.0
03/27/2007,5.701226711273193,0.0
03/27/2007,5.701226711273193,0.0
03/28/2007,5.617777347564697,0.0
03/28/2007,5.617777347564697,0.0
03/29/2007,5.654496192932129,0.0
03/29/2007,5.654496192932129,0.0
03/30/2007,5.671182632446289,0.0
03/30/2007,5.671182632446289,0.0
04/02/2007,5.624453067779541,0.0
04/02/2007,5.624453067779541,0.0
04/03/2007,5.591073989868164,0.0
04/03/2007,5.591073989868164,0.0
04/04/2007,5.641144275665283,0.0
04/04/2007,5.641144275665283,0.0
04/05/2007,5.6878743171691895,0.0
04/05/2007,5.6878743171691895,0.0
04/09/2007,5.664509296417236,0.0
04/09/2007,5.664509296417236,0.0
04/10/2007,5.627790927886963,0.0
04/10/2007,5.627790927886963,0.0
04/11/2007,5.707901954650879,0.0
04/11/2007,5.707901954650879,0.0
04/12/2007,5.714578628540039,0.0
04/12/2007,5.714578628540039,0.0
04/13/2007,5.737944602966309,0.0
04/13/2007,5.737944602966309,0.0
04/16/2007,5.8480963706970215,0.0
04/16/2007,5.8480963706970215,0.0
04/17/2007,5.861447811126709,0.0
04/17/2007,5.861447811126709,0.0
04/18/2007,6.021670341491699,0.0
04/18/2007,6.021670341491699,0.0
04/19/2007,5.9916276931762695,0.0
04/19/2007,5.9916276931762695,0.0
04/20/2007,5.9916276931762695,0.0
04/20/2007,5.9916276931762695,0.0
04/23/2007,6.061725616455078,0.0
04/23/2007,6.061725616455078,0.0
04/24/2007,6.061725616455078,0.0
04/24/2007,6.061725616455078,0.0
04/25/2007,6.158526420593262,0.0
04/25/2007,6.158526420593262,0.0
04/26/2007,6.158526420593262,0.0
04/26/2007,6.158526420593262,0.0
04/27/2007,6.058387279510498,0.0
04/27/2007,6.058387279510498,0.0
04/30/2007,6.085091590881348,0.0
04/30/2007,6.085091590881348,0.0
05/01/2007,6.128484725952148,0.0
05/01/2007,6.128484725952148,0.0
